ID,Project_ID,Project_Title,Donor_or_Lender,CIDA_Donor_Format,Multi_Single,Partner,Total_Cost,Currency_used,Sector_Code,Total_disbursement_to_date,Project_funding_type,Approval_Date,Name_of_Implementing_Agency,Telephone_for_EA,Fax_for_EA,www_address,Targeted_Beneficiaries(HH),Targeted_individuals,Targeted_Group,Address,Email,Objective,Components,Planned_Project_Outputs,Indicators,Start_Date,Completion_Date,Date_of_data_entry,District_Coverage
139,139,Promotion of Cotton Production and Wheat Development,Malawi Government,,,,631000000,7,43040,"89,882,747",7,07/01/2005,Ministry of Agriculture and Food Security (MoAFS) – Crops Department (CD),01 789 033/01 776 061/01 774 907,01 789 218,www.moafsmw.org,300000,0,Smallholder farmers,"P.O. Box 30134, Capital City, Lilongwe 3.",ccmtambo@yahoo.com; graykatopola@yahoo.com,"1. To increase cotton productivity and marketing in this country_x000D_
_x000D_
2. T increase wheat production levels among mostly small holder farmers thereby contributing to food security and enhancing income which would contribute to poverty alleviation","1. Crop Production (Cotton and Wheat)_x000D_
_x000D_
2. Crop Marketing (Cotton and Wheat)_x000D_
_x000D_
3. Sensitisation and Training_x000D_
_x000D_
4. Establishment of irrigation schemes for wheat production_x000D_
_x000D_
5. Wheat seed multiplication_x000D_
_x000D_
6. Technology generation and transfer","1. No. of ha under cotton production increased _x000D_
_x000D_
2. No. of smallholder farmers growing cotton increased_x000D_
_x000D_
3. Quantity and quality of cotton improved_x000D_
_x000D_
4. Increased wheat productivity and production_x000D_
_x000D_
5. Reduced wheat imports_x000D_
_x000D_
6. Enhanced food security","1. No. of ha under cotton production _x000D_
_x000D_
2. No. of smallholder farmers targeted_x000D_
_x000D_
3. Quantity and quality of cotton produced",07/01/2005,12/31/2010,01/24/2010,"Blantyre, Karonga, Nkhotakota, Salima, Mangochi, Balaka, Machinga, Chikwawa, Nsanje"
140,140,Livelihood Strategies Eliminating Needs (LISTEN),Food Resource Bank,,,,8358431,7,31140,"5,530,000",3,01/01/2008,CADECOM,01 303 099,01 303 099,,1000,5000,Vulnerable households,"P.O. Box 543, Mzuzu",mzuzucadecom@malawi.net,"1. To decrease food insecurity amongst the vulnerable communities in the targeted rural households of Malawi_x000D_
_x000D_
2. To ensure that vulnerable households in Kasungu have resilience to shocks and their capacity is built","1. Small scale irrigation_x000D_
_x000D_
2. Food Security_x000D_
_x000D_
3. Capacity building_x000D_
_x000D_
4. Crop diversification and marketing","1. Increased number of households that are food secure_x000D_
_x000D_
2. increased number of hectares under irrigation_x000D_
_x000D_
3. Community members have increased knowledge and skills on desaster risk management (DRM) and project monitoring and evaluation ( PM&E)_x000D_
_x000D_
4. Community groups have increased knowledge and skills in implementation of community action plan_x000D_
_x000D_
5. Grants provided to community _x000D_
_x000D_
6. Community leaders, stakeholders and community members have increased knowledge on VSL scheme_x000D_
_x000D_
7. Targeted households have increased knowledge and skills of the various good agricultural practices","1. Total number of households that are food secure for 12 months_x000D_
_x000D_
2. Number of irrigation sites established and functional_x000D_
_x000D_
3. Number of committees and groups trained in capacity building_x000D_
_x000D_
4. Targeted vulnerable households will have attained sustainable food security by project end_x000D_
_x000D_
5. Increased annual income for the communities by project end_x000D_
_x000D_
6. Participating households have increased their savings income by project end_x000D_
_x000D_
7. Number of Clubs accessing external resource/services",01/01/2008,12/30/2010,12/01/2009,Kasungu
141,141,Integrated Food Security Program (Zomba),Trocaire,,,,19840730,7,43040,"14,107,000",3,08/30/2006,CADECOM,01 524 003,01 524 003,,2025,0,Resource poor and vulnerable people,"P.O. Box 115, Zomba",cadecomza@globemw.net,"1. To enhance household incomes through promotion of agricultural marketing and marketing skill among smallholder farmers in the area_x000D_
_x000D_
2. To promote diversification of assets at household level through provision of high yielding varieties_x000D_
_x000D_
3. To promote small scale livestock ownership improved management among resource poor households_x000D_
_x000D_
4. To promote issues of on gender and HIV/AIDS and human rights","1. Crop diversification_x000D_
_x000D_
2. Marketing of agricultural produce_x000D_
_x000D_
3. Small scale livestock production_x000D_
_x000D_
4. Mainstreaming HIV/AIDS and gender_x000D_
_x000D_
5. Winter cropping","1. Increased number of farmers growing more than one cereal or root crops_x000D_
_x000D_
2. Number of associations formed_x000D_
_x000D_
3. Increased number of farmers owning livestock","1. Number of farmers growing more that one cereal and root crop_x000D_
_x000D_
2. Number of associations formed and farmers selling their produce through the associations_x000D_
_x000D_
3. Proportion of farmers owning livestock",09/01/2007,06/30/2010,12/01/2009,Zomba
142,142,Access to Markets and Small Producers (AtM),"CORDAID, Netherlands",,,,243602,2,43040,"200,140",3,04/01/2007,CADECOM,01 303 097,01 303 097,,500,2750,Vulnerable households,"P.O. Box 543, Mzuzu",mzuzucadecom@malawi.net,"1. To increase crop, livestock production and access to market for vulnerable people_x000D_
_x000D_
2. To increase  participation of girls and boys men and women in all development activities_x000D_
_x000D_
3. To enhance crisis prevention capacity (disaster management) in disaster prone communities","1. Food security_x000D_
_x000D_
2.  Disaster risk management_x000D_
_x000D_
3. Capacity building","1. Sensitization workshops in Parish priest, DEC, and Local Authorities_x000D_
Mobilization and formation of clubs_x000D_
_x000D_
2. Collection of baseline data for 3 parishes._x000D_
_x000D_
3. Establishment of area Tikolerane Committees_x000D_
_x000D_
4. Training of club/Tikolerane Executive committees_x000D_
_x000D_
5. Malembo dam rehabilitated_x000D_
_x000D_
6. Procurement and distribution of farm inputs_x000D_
_x000D_
7. Crop and livestock production increased by 70%_x000D_
_x000D_
8. 75 farmer organization formed_x000D_
_x000D_
9. 25 Mt sweet potato vines and 25 Mt cassava cuttings distributed_x000D_
_x000D_
10. 110 pigs and 200 guinea fowls distributed_x000D_
_x000D_
11. 10 cereal/seed banks and 300 vertiva garden established_x000D_
_x000D_
12. Number of potential buyers identified and linked","1. Increased participation of women, girls and boys in development activities_x000D_
_x000D_
2. Crop and livestock production increased_x000D_
_x000D_
3. Farmers organization formed and functional_x000D_
_x000D_
4. Action plan developed_x000D_
_x000D_
5. Household using compost manure_x000D_
_x000D_
6. Quantity of seeds and planting materials distributed_x000D_
_x000D_
7. Number of livestock distributed_x000D_
_x000D_
8. Number of seed banks established_x000D_
_x000D_
9. Number of potential buyers identified and linked",04/01/2007,03/31/2010,12/01/2009,"Chitipa, Karonga, Rumphi, Mzimba"
143,143,Integrated Community Development (ICD),Caritas Australia,,,,311162,5,43040,"294,144",3,01/01/2007,CADECOM,01 303 098,01 303 098,,600,3300,Vulnerable people,"P.O. Box 543, Mzuzu",mzuzucadecom@malawi.net,"1. To increase crop and livestock production for vulnerable people_x000D_
_x000D_
2. To increase community knowledge on HIV/AIDS. _x000D_
_x000D_
3. To increase access to safe drinking water for 240 people_x000D_
_x000D_
4. To restore the degraded environment and enhance crisis prevention capacity","1. Food security_x000D_
_x000D_
2. Disaster risk management_x000D_
_x000D_
3. Capacity building_x000D_
_x000D_
4. Poultry production_x000D_
_x000D_
5. Nutrition","1. Nutrition education and compost making trainings conducted to targeted households_x000D_
_x000D_
2. Four training in vertiva gardening conducted, communal seed banks promoted and established in target communities_x000D_
_x000D_
3. Awareness campaigns on HIV/AIDS conducted_x000D_
_x000D_
4. Volunteers trained on counselling skills_x000D_
_x000D_
5. Basic drugs procured and distributed to target areas_x000D_
_x000D_
6. 12 boreholes drilled and communities trained on the maintenance_x000D_
_x000D_
7. 80% increase in number of households earning more than 1US Dollar_x000D_
_x000D_
8. 50% increase in number of households meeting their basic requirements 80% of households with energy food reserve in critical months_x000D_
_x000D_
9. 20% increase in household income_x000D_
_x000D_
10. 50% reduction in cases of malnutrition among under 5 children","1. Number of households meeting their basic requirements _x000D_
_x000D_
2. Increase in household income_x000D_
_x000D_
3. Reduction malnutrition in under 5 children_x000D_
_x000D_
4. Increased number of meals for the targeted communities_x000D_
_x000D_
5. Number of livestock per household_x000D_
_x000D_
6. Percentage increase in total annual food crop production to 450 farm households _x000D_
_x000D_
7. Households practicing recommended nutritional practices and compost manure_x000D_
_x000D_
8. Households adopting more than half of the good nutritional practices_x000D_
_x000D_
9. Number of good nutritional practices introduced",01/01/2007,09/10/2013,12/02/2009,Mzimba
144,144,Disaster Risk Management (DRM),CORDAID,,,,1000000,2,41010,"506,800",3,01/01/2008,CADECOM,01 774 161,01 772 108,,,12600,Vulnerable rural communities,"P.O. Box 30384, Lilongwe 3",nutfoodsec@malawi.net,"1. To increase knowledge of DRM among the population of 140 communities and of 25 staff from National DRM team and each of the 3 Episcopal Conference of Malawi (ECM’s) commissions_x000D_
_x000D_
2. To mitigate disasters and improve the livelihood in 112 communities (80% of 140 communities)_x000D_
_x000D_
3. To establish a national data bank for DRM monitoring and planning at ECM secretariat level",Disaster Risk Management (DRM),"1. Newsletters in circulation_x000D_
_x000D_
2. 140 communities sensitized on project activities_x000D_
_x000D_
3. A baseline study report is produced o situation of the impact areas_x000D_
_x000D_
4. 140 disaster risk mitigation plans developed_x000D_
_x000D_
5. 112 mitigation plans implemented within the implementation period of the project_x000D_
_x000D_
6. 3 programme review meetings to track the programme progress conducted between CORDAID and ECM_x000D_
_x000D_
7. 25 ECM staff competent on DRM _x000D_
_x000D_
8. One functional DRM database for ongoing DRM monitoring and evaluation, planning and implementation.","1. Number of communities committees sensitized on project activities_x000D_
_x000D_
2. Number of disaster risk reduction plans developed._x000D_
_x000D_
3. Number of mitigation plans implemented within the implementation period _x000D_
_x000D_
4. Number of ECM staff competent on DRM_x000D_
_x000D_
5. Completion of a functional DRM database for ongoing DRM monitoring and evaluation, planning and implementation",04/01/2008,12/31/2010,12/01/2009,"Chikwawa, Blantyre, Zomba, Dedza, Lilongwe, Mangochi, Mzimba"
145,145,Smallholder Dairy Development Project,EU,,,,1198467,2,32161,"769,411",3,12/12/2007,Shire Highlands Milk Producers Association (SHMPA),01 875 257/08 838 109,01821 269,,655,0,01821 269,"Box 30603, Blantyre 3",brian@africa-online.net,"Improved food security of poor and vulnerable households resulting from enhanced opportunities to increase household income and food production through dairying, and improving access to milk for vulnerable children","1. Heifer Loan scheme _x000D_
_x000D_
2. Heifer breeding and rearing _x000D_
_x000D_
3. Training and support to farmers and Milk Bulking Group (MBG) committees_x000D_
_x000D_
4. Expansion of the milk market and storage facilities_x000D_
_x000D_
5.  Pilot scheme for delivering milk to 4,000 children in schools and CBCCs","1. Opportunity created for 650 FHHs to earn an income from dairy farming and to increase food production._x000D_
_x000D_
2. Improved services for animal health and milk quality testing_x000D_
 _x000D_
3. Improved management of milk collection network, including establishment / renovation of 3 MBGs_x000D_
_x000D_
4. Sustainable supply of dairy heifers produced by local farmers increased to 150/yr_x000D_
_x000D_
5. Enhanced capacity of smallholder farmers and their organizations to increase milk production and income from the dairy sector_x000D_
_x000D_
6. Improved efficiency and reliability of field services delivered to smallholder dairy farmers by farmer livestock technicians_x000D_
_x000D_
7. An extended and more efficient rural milk collection network with reduced losses from unsold milk_x000D_
_x000D_
8. An expanded milk market with benefits to low income consumers_x000D_
_x000D_
9. A cost-effective school milk programme established providing milk to children in primary schools and CBCCs","1.  Household food supply & household income_x000D_
_x000D_
2. Household earnings from milk sales,  milk sales from MBGs (% increase in production of milk),    milk being consumed in schools & CBCCs",12/20/2007,12/19/2011,01/12/2010,"Blantyre, Zomba, Chiradzulu, Thyolo, Mulanje"
146,146,"Improvement of Farmers’ Productivity and Income through Soil Re-Fertilization in Blantyre District, Malawi",EU,,,Coordination Unit for the Rehabilitation of the Environment (CURE),811071,2,31130,"709,000",3,11/29/2007,Ricerca e Cooperazione,0999 654 076,,www.ongrc.org,200,1000,Rural Farmers,,ongrc@ongrc.org,"1. To increase food security and income levels for rural households with sustainable use of soil and water resources in Blantyre District._x000D_
_x000D_
2. To increase the level of soil fertility in Blantyre District and reduce soil degradation in Blantyre District._x000D_
_x000D_
3. To increase the productivity of agriculture through the reduction of soil erosion in 5 villages in Blantyre District.","1. Local Biomass collection for the Humus collection plant._x000D_
_x000D_
2. Rain water harvesting._x000D_
_x000D_
3. Crop diversification ._x000D_
_x000D_
4. Agro forestry.   _x000D_
_x000D_
5. Training on conservation and maintenance of the arboreal resource._x000D_
_x000D_
6. Technical assistance to the farmers.","1. The farmers use suitable techniques of cultivation in order to increase their productivity and soil fertility. _x000D_
_x000D_
2. Deforestation is reduced in 5 villages in Blantyre District.","1. At least 1/3 of the involved farmers use cultivation techniques intended for the soil conservation._x000D_
_x000D_
2. At least 2/3 of the involved farmers collect rainwater and use it in agriculture._x000D_
_x000D_
3. New trees are planted in the 35% of the beneficiaries' gardens._x000D_
_x000D_
4. 60% of the project's nurseries trees have been planted.",01/01/2008,12/31/2010,01/12/2010,Blantyre
147,147,Green Pumps - Affordable Irrigation for Smallholders Combined with Diversifying into Nutritious Crops and Improving Local Water Balances,EU,,,Development Aid from People to People (DAPP) Zimbabwe,937838,2,43040,"750,107",3,03/19/2008,The Registered Trustees of Development Aid from People to People in Malawi (DAPP),01 834 264/09 960 306,01 834 277,www.dappmalawi.org,1440,12000,Smallholder farmers,"P.O Box 2732, Blantyre",lt@africa-online.net,"1. To contribute to alleviating poverty by improving nutritional status, food security and income among rural families_x000D_
_x000D_
2. To contribute to mitigating  the impacts of irregular rainfalls by enabling more farmers to produce with small-scale irrigation, diversifying food crops and training farmers in water-efficient practices_x000D_
_x000D_
3. To contribute to improving groundwater recharge and reduce erosion through sustainable management of soil and water resources_x000D_
_x000D_
4. To improve livelihoods among 6,000 families in the Chiradzulu and Zomba Districts of Malawi by enabling small-scale irrigation and by diversifying and improving food production. (Under Lot Sustainable irrigation, diversification and food preservation)","1. Crop diversification: _x000D_
_x000D_
2. Capacity building_x000D_
_x000D_
3. Food processing and storage handling_x000D_
_x000D_
4. Seed multiplication_x000D_
_x000D_
5. Small-scale irrigation _x000D_
_x000D_
6. Metal workshop to produce rope pumps. Horticulture. _x000D_
_x000D_
7. Environmental management (firewood saving stoves, erosion control, tree planting)_x000D_
_x000D_
8. Nutrition _x000D_
_x000D_
9. Revolving funds and loans.","1. Reduction in number of malnourished children by 20% among beneficiaries of garden irrigation systems, and 10% in target population_x000D_
_x000D_
2. Increased annual household income at project termination _x000D_
_x000D_
3. Increased number of smallholders farmers  that have adopted improved crops _x000D_
_x000D_
4. Increased number of families that use ""Recommended Nutritional Practices"" _x000D_
_x000D_
5. Increased number of hectares under small-scale irrigation","1. Decreased % of malnourished children_x000D_
_x000D_
2. Increase in annual household income at project termination compared to baseline levels among targeted households_x000D_
_x000D_
3. Increased acreage under small-scale irrigation_x000D_
_x000D_
4. Numbers of smallholders who have adopted new crops_x000D_
_x000D_
5. Numbers of groundwater recharge systems established, and km of vetiver contours established",04/01/2008,03/31/2011,01/12/2010,"Zomba, Chiradzulu"
148,148,Assistance to food insecure people suffering from the effect of natural disasters and HIV/AIDS – PRRO 10586,WFP,,,"DoDMA, MoE, MoH, FAO,  WHO",131709306,5,71010,"87,806,204",3,10/24/2007," ADRA, COOPI/Maleza, Concern Universal, CPAR, Emmanuel International, Goal Malawi, and WVI.",01774 666/291/584/535/485,01773 785,www.wfp.org,0,1221000,"Vulnerable and food insecure, malnourished children, disaster affected households","P.O Box 30571,  Lilongwe",Wfp.lilongwe@wfp.org,"To prevent vulnerable people from sliding into deeper poverty because of economic and natural disaster shocks; increasing the assets of the poor; and caring for the most vulnerable:_x000D_
_x000D_
1. Save lives in crisis situations, especially those affected by sudden transitory food needs caused by small-scale natural disasters such as floods and erratic rainfall;_x000D_
_x000D_
2. Support improved nutritional status among malnourished children, at risk pregnant and lactating women, and people living with HIV/AIDS and those on TB treatment, in target areas;_x000D_
_x000D_
3. Protect and enhance livelihoods of food insecure and vulnerable people, including those affected by HIV/AIDS and chronic food insecurity risks, in targeted food-insecure areas","1. HIV/AIDS support;_x000D_
_x000D_
2. Supplementary and therapeutic feeding;_x000D_
_x000D_
3. Food for assets;_x000D_
_x000D_
4. Targeted food distribution flood response_x000D_
_x000D_
5. Livestock production","1. Timely provision of the right type of food in sufficient quantity for all targeted beneficiary groups;_x000D_
_x000D_
2. Reduced and/or stabilized acute malnutrition of population identified in crisis-affected areas;_x000D_
_x000D_
3. Household food access improved and/ or maintained during sudden natural disasters;_x000D_
_x000D_
4. Increased food security in targeted households (chronically vulnerable, with CI, OVC);_x000D_
_x000D_
5. Reduced recourse to negative coping strategies;_x000D_
_x000D_
6. Improved compliance with TB treatment and PMTCT protocols;","1. Actual tonnage of food distributed through each activity as a % of planned, by project category and food type;_x000D_
_x000D_
2. Actual beneficiaries receiving WFP assistance as % of planned, by project category, age group and Gender;_x000D_
_x000D_
3. % of targeted general food distribution occurring more than seven days after planned date of distribution;_x000D_
_x000D_
4. % of targeted beneficiaries attaining the minimum food consumption threshold (food consumption score >=21.5), by beneficiary category and gender of household head;_x000D_
_x000D_
5. Proportion of targeted households consuming at least two meals per day, by beneficiary status and gender of household head;_x000D_
_x000D_
6. Changes in coping strategies measured by the Coping Strategies Index, by beneficiary status and gender of household head;_x000D_
_x000D_
7. Number of participants in asset creation, disaggregated by gender;_x000D_
_x000D_
8. Prevalence of malnutrition among targeted pregnant and lactating women (measured using low birth weight and BMI);_x000D_
_x000D_
9. Recovery rate in supplementary and therapeutic feeding programmes (>70% for supplementary feeding; >75% for therapeutic feeding);_x000D_
_x000D_
10. Default rate in supplementary and therapeutic feeding programmes (<15% for both);_x000D_
_x000D_
11. Incidence of low birth-weight among PMTCT beneficiaries;% of clients collecting their TB treatment as per protocol;_x000D_
_x000D_
12. % of targeted TB patients completing their TB treatment as per protocol;_x000D_
_x000D_
13. % of PMTCT clients returning with their babies for HIV testing according to guidelines;_x000D_
_x000D_
14. Client defaulter rates through each activity as % of planned, by project category, age group and gender;_x000D_
_x000D_
15. % of micronutrient-fortified food delivered through WFP-supported nutrition interventions;_x000D_
_x000D_
16. Number of PLHA receiving food rations, by_x000D_
category, gender, and age group;",01/01/2008,12/31/2010,02/22/2010,Country-wide
149,149,School Feeding – Development Programme 10581,"UNICEF, FAO, World Bank, Italy, Greece, Germany, Iceland, Italy, USA and other private donors",,,,54648419,5,12340,"36,432,279",3,06/07/2007,"Ministry of Education, Science and Technology (MoES&T)",01 774 666/291/584/535/485,01 773 785,www.wfp.org,0,635000,School boys and girls,"P.O Box 30571, Lilongwe",Wfp.lilongwe@wfp.org,To increase primary education completion rate; reduce drop out rate and increase attendance; reduce short term hunger at school for children to learn better; reduce gender disparities between boys and girls in targeted schools,"1. De-worming_x000D_
_x000D_
2. Food provision_x000D_
_x000D_
3. School garden","1. 635, 000 children provided with a daily ration for 183 days; _x000D_
_x000D_
2. 114, 300 girls and orphan boys provided with THR for 4 months;",1. Increased attendance; reduced drop out rates,01/01/2008,12/31/2011,09/11/2009,"Chikwawa, Chiradzulu, Dedza, Kasungu, Lilongwe, Mangochi, Mulanje, Nsanje, Ntcheu, Phalombe, Salima, Thyolo, Zomba"
150,150,Children Education Support and Promotion Programme,Kindernothilfe,,,"Ministry of Education, School Health Nutrition Department",40000000,5,31181,"12,005,000",3,04/01/2008,Foundation for Irrigation and Sustainable Development (FISD),01 755 024,01 755 024,,0,,School aged children,"P.O. Box 31245, Lilongwe 3",fisd@mail.org,"1. To reduce the number of children that drop out of school and/or that are most of the times absent because of their household’s food insecurity i.e. hunger _x000D_
_x000D_
2. To ensure improved performance of children in schools _x000D_
_x000D_
3. To increase awareness of children’s right in the community_x000D_
_x000D_
4. To provide vocational skills to pupils in upper classes of the school_x000D_
_x000D_
5. To improve household’s access to resources for sustainable support of their children’s education","1. School feeding plus community managed school gardens and piggery enterprises for sustainable support of the feeding component_x000D_
_x000D_
2. Awards for best students in terms of performance_x000D_
_x000D_
3. Human rights awareness_x000D_
_x000D_
4. Agro-based vocational skills trainings for pupils in classes 6 to 8; currently mushroom production, rabbitry and piggery_x000D_
_x000D_
5. Agricultural Input Loans for households keeping orphans who are schooling at the targeted primary school","1. Increased school enrolment_x000D_
_x000D_
2. Reduced school absenteeism _x000D_
_x000D_
3. Reduced school dropout rate _x000D_
_x000D_
4. Community supported school feeding programme established","1. Number of children newly enrolled in the school from the onset of the project _x000D_
_x000D_
2. Frequency of absenteeism of the school children from the onset of the project _x000D_
_x000D_
3. Number of school dropout cases from the onset of the project_x000D_
_x000D_
4. Improved access to resources for sustainable support of the school feeding programme through school gardens and piggery _x000D_
_x000D_
5. At least 40 pupils from upper classes gained agro-based vocational skills_x000D_
_x000D_
6. Community’s improved livelihood and access to resources for the support of their children’s education",04/01/2008,10/30/2011,01/12/2010,Lilongwe
151,151,Skills Development Programme for Rural Youths,Gorta,,,,5000000,7,31181,"4,500,000",3,11/01/2008,Foundation for Irrigation and Sustainable Development (FISD),01 755 024,,www.gorta.ie,0,100,Unemployed out-of-school youths,"Box 31245, Capital City Lilongwe 3",fisd@mail.org,To provide employment to out of school youths,"1. Irrigation Farm Business Management Trainings _x000D_
_x000D_
2. Carpentry _x000D_
_x000D_
3. Tailoring _x000D_
_x000D_
4. Brick laying",1. Number of sustainable enterprises for the school leavers in the areas they have been trained in.,1. Increased income levels of the rural youths,11/01/2008,11/30/2010,01/12/2010,Lilongwe
152,152,Assistance to Refugees in Malawi,"Finland, Denmark Japan, Sweden, Netherlands",Finland,,"United Nations High Commisioner for Refugees (UNHCR), Malawi Red Cross Society (MRCS), Government of Malawi (GoM)",7200000,5,52010,"249,036",3,01/01/2007,"World Food Programme (WFP), United Nations High Commissioner for Refugees (UNHCR), Malawi Red Cross Society (MRCS), World Vision Malawi (WVM)",01 774 666,01 773 785,www.wfp.org,0,12000,Refugees and food insecure households around camps,"P.O. Box 30571, Lilongwe 3",wfp.lilongwe@wfp.org,"1. Maintain minimum nutritional and dietary standards among targeted refugees through a general food distribution until refugees with access to land become productive and/or have businesses that provide supplementary income, thereafter their rations will be reassessed by a WFP/UNHCR mission._x000D_
_x000D_
2. Mitigate the effects of natural disasters in refugee hosting areas by assisting environmental rehabilitation and improving the physical infrastructure.",1. Food distribution to refugees and food insecure households living around the camps.,"1. Increased access to food for the refugee populations._x000D_
_x000D_
2. Targeted beneficiaries around refugee camp participate in food supported asset-creation/rehabilitation activities.","1. Quantity of food distributed (by activity - FFW/GFD)._x000D_
_x000D_
2. Number of refugee beneficiaries receiving WFP food assistance (by project activity, age group, gender)._x000D_
_x000D_
3. Number of beneficiaries participating in asset generating activities (by gender and age group)._x000D_
_x000D_
4. Physical assets created.",01/01/2007,12/31/2010,02/22/2010, Dowa
153,153,Sustainable Food Security- Winter Cropping and Natural Resource Management,Plan Malawi,,,,70200000,7,43040,"53,490,244",2,06/01/2008,Total Land Care,01 757 090/092,01 751 509,,1700,10700,"Rural farmers, women, child-headed households","Box 2053, Lilongwe",phillotp@yahoo.co.uk,To increase food and economic security of the participating farmers.,"1. Trainings in production_x000D_
_x000D_
2. Food processing and utilization _x000D_
_x000D_
3. Marketing of crops_x000D_
_x000D_
4. Small dam construction_x000D_
_x000D_
5. Natural resource management activities like afforestation, energy serving stove promotion and winter cropping",1. Trainings conducted and seed and farm input  (equipment) distributed,1. Increased numbers of farmers reporting an increase in food and economic security at household level,07/01/2009,06/30/2011,02/25/2010,"Mulanje, Lilongwe, Kasungu, Mzimba"
154,154,Strengthening Institutions for the Risk Management of Trans boundary animal Diseases –SADC TAD project,ADB,,,,20162087,5,31195,"242,186",3,06/01/2007,"Ministry of Agriculture and Food Security (MoAFS), Department of Animal Health",01 754 073,01 751 349,www.moafsmw.org,0,0,"Livestock farmers, institutions providing veterinary services","Box 2096, Lilongwe3",wlipita@yahoo.com,To enhance livestock as a tradable and consumable commodity through assured animal health,"1. Capacity building_x000D_
_x000D_
2. Coordination_x000D_
_x000D_
3. Networking","1. Early detection/warning, reporting and response of TAD strengthened_x000D_
_x000D_
2. Community awareness and participation in early warning/detection and response of TAD increased_x000D_
_x000D_
3. Cost effective investment programs for progressive control of TADs established","1. Number of staff trained _x000D_
_x000D_
2. Number of sero surveillances done",01/01/2008,12/31/2013,02/26/2010,"Karonga, Chitipa, Mzimba, Kasungu, Mchinji, Dowa, Phalombe, Mulanje, Thyolo, Chiradzulu, Chikwawa, Neno"
155,155,Rural Livelihood Programme,Kellogg foundation,,,,250000,5,43040,"200,450",3,03/01/2008,Foundation for Irrigation and Sustainable Development (FISD),01 755 024,,,0,300,"Rural women, small holder farmers, youths and people living with HIV/AIDS","P.O. Box 31245, Capital City, Lilongwe 3",fisd@mail.org,"1. Improve household income levels through promotion of agricultural businesses._x000D_
_x000D_
2. Improve availability of food in families through improved agricultural production and improved household income._x000D_
_x000D_
3. Reduce cases of malnutrition among children and pregnant women through increased availability of food and proteins. _x000D_
_x000D_
4. Increase knowledge and skills of smallholder farmers on improved methods and techniques of crop production and livestock production (poultry, piggery farming, fish farming and rabbit farming)._x000D_
_x000D_
5. Increase knowledge of smallholder farmers on principles of agribusiness and methods of improving and processing the agricultural produce so as to increase income from these products.","1. Irrigation Development _x000D_
_x000D_
2. Livestock Development_x000D_
_x000D_
3. Agro-processing_x000D_
_x000D_
4. Rain-fed agriculture input support_x000D_
_x000D_
5. Agribusiness Training_x000D_
_x000D_
6. Nutrition and HIV/AIDS Trainings","1. Increased household income levels through agricultural businesses._x000D_
_x000D_
2. Improved availability of food and proteins in the rural families._x000D_
_x000D_
3. Reduced cases of malnutrition among children and pregnant women in the project area._x000D_
_x000D_
4. Increased the number of children retaining at primary and secondary schools in rural areas of Lilongwe district._x000D_
_x000D_
5. Increased knowledge and skills of smallholder farmers on improved methods and techniques of crop   production and livestock/ fish production._x000D_
_x000D_
6. Increased availability of improved agricultural inputs and financial services","1. Number of meals per day and the observed diets._x000D_
_x000D_
2. Number of malnourished children and pregnant women._x000D_
_x000D_
3. Number of children retaining primary and secondary schools._x000D_
_x000D_
4. Conducted trainings and acquired knowledge on crop and livestock production._x000D_
_x000D_
5. Provided agricultural inputs and financial services and continued circulation of these services",03/01/2008,03/31/2010,01/12/2010,Lilongwe
156,156,Presidential Initiative on Aquaculture Development (PIAD),Malawi Government,,,,700000000,7,31320,"139,500,000",7,02/01/2006,"Ministry of Agriculture and Food Security (MoAFS), Fisheries Department",01 788 511,01 788 712,www.moafsmw.org,2700,14540,"Small-scale and commercial fish farmers, fish feed producers, Fingerling producers’ Fisheries extension and research staff","P.O. Box 593, Lilongwe",fisheriesdept@sdnp.org.mw,"1. To increase the contribution of fish farming to the total national fish production from 500 tonnes per year within 5 years_x000D_
_x000D_
2. To integrate fish farming into rural livelihoods and enhance economic opportunities for commercial fish farmers","1. Demand driven research_x000D_
_x000D_
2. Fingerling and table size fish production_x000D_
_x000D_
3. Fish feed production_x000D_
_x000D_
4. Technology transfer and skills development_x000D_
_x000D_
5. Fish marketing and business development","1. Extension workers with increased practical knowledge in fish farming_x000D_
_x000D_
2. Appropriate fish farming equipment and infrastructure provided for Government stations_x000D_
_x000D_
3. 5,000 brood-stock collected from the wild and distributed to satellite fish station_x000D_
_x000D_
4. 5 small-scale community cage culture trials conducted_x000D_
_x000D_
5. 10,000,000 fingerlings produced and distributed to farmers_x000D_
_x000D_
6. 2 community fish farmers established_x000D_
_x000D_
7. 2 fish feed formulations developed_x000D_
_x000D_
8. Appropriate areas for fish farming development mapped in the 3 regions of Malawi","1. Number of extension workers participating in training course_x000D_
_x000D_
2. Number of Government stations maintained/rehabilitated and presence of adequate equipment available at each station_x000D_
_x000D_
3. Number of brood-stock collected and distributed_x000D_
_x000D_
4. Number of cage culture trial sites_x000D_
_x000D_
5. Number of fingerlings produced and distributed_x000D_
_x000D_
6. Number of community farms established_x000D_
_x000D_
7. Number of fish feed formulations_x000D_
_x000D_
8. Number of maps produced",07/01/2006,06/30/2011,02/22/2010,Country-wide
